id	concept
1	LENGUA_TONGUE
2	BOCA_MOUTH
3	LABIO_LIP
4	DIENTE_TOOTH
5	NARIZ_NOSE
6	OJO_EYE
7	OREJA_EAR
8	CABEZA_HEAD
9	FRENTE_FOREHEAD
10	CABELLO_HAIR
11	MENTÓN_CHIN
12	BARBA_BEARD
13	CUELLO_NECK
14	PECHO_CHEST
15	TETA, SENO, PECHO_WOMAN’S BREASTS
16	VIENTRE, ABDOMEN_ABDOMEN, BELLY
17	ESPALDA_BACK
18	HOMBRO_SHOULDER
19	BRAZO_ARM
20	BRAZO SUPERIOR_UPPER ARM
21	CODO_ELBOW
22	MANO_HAND
23	DEDO DE LA MANO_FINGER
24	UÑA_FINGERNAIL
25	PIERNA_LEG
26	MUSLO_THIGH
27	RODILLA_KNEE
28	ESPINILLA_SHIN
29	PIE_FOOT
30	DEDO DEL PIE_TOE
31	PIEL_SKIN
32	HUESO_BONE
33	SANGRE_BLOOD
34	CORAZÓN_HEART
35	PULMONES_LUNGS
36	PENE_PENIS
37	VULVA_VULVA
38	HOMBRE_MAN
39	VARÓN_MALE
40	MUJER_WOMAN
41	GENTE_PEOPLE
42	MARIDO, ESPOSO_HUSBAND
43	ESPOSA_WIFE
44	PADRE_FATHER
45	MADRE_MOTHER
46	CRIATURA_BABY, INFANT
47	VIEJO_OLD MAN
48	AGUA_WATER
49	RÍO_RIVER
50	ISLA_ISLAND
51	LAGO_LAKE
52	PANTANO_SWAMP
53	FUENTE, OJO DE AGUA_SPRING OF WATER
54	CAÍDA DE AGUA_WATERFALL
55	CATARATA, RAUDAL_RAPIDS
56	CANDELA, FUEGO_FIRE
57	CENIZA_ASH
58	CARBÓN_CHARCOAL
59	HUMO_SMOKE
60	LEÑA_FIREWOOD
61	CIELO_SKY
62	LLUVIA_RAIN
63	VIENTO_WIND
64	SOL_SUN
65	LUNA_MOON
66	ESTRELLA_STAR
67	DÍA_DAY
68	NOCHE_NIGHT
69	TRUENO_THUNDER
70	RELÁMPAGO_LIGHTNING
71	ARCO IRIS_RAINBOW
72	TIERRA_EARTH
73	PIEDRA_STONE
74	ARENA_SAND
75	CASA_HOUSE
76	TECHO_ROOF
77	PUERTA_DOORWAY
78	BANCO_SEAT, STOOL
79	ESTERA_MAT
80	HAMACA_HAMMOCK
81	CATRE, CAMA DE BARBACOA_BED
82	OLLA_COOKING POT
83	ROZA, SEMENTERA_CULTIVATED CLEARING
84	CASERÍO_VILLAGE
85	CAMINO, SENDERO, TROCHA_PATH, TRAIL
86	RED_FISH NET
87	ANZUELO_FISH HOOK
88	HACHA_AXE
89	CUCHILLO_KNIFE
90	CANOA_CANOE
91	REMO_PADDLE
92	PORRA, MACANA_CLUB
93	LANZA_SPEAR
94	ARCO_BOW
95	FLECHA_ARROW
96	CERBATANA_BLOWGUN
97	DANTA_TAPIR
98	TIGRE_JAGUAR
99	LEÓN, PUMA_PUMA
100	ARMADILLO, QUINQUINCHO, CHUPA_ARMADILLO
101	PERRO_DOG
102	VENADO_DEER
103	MURCIÉLAGO_BAT
104	NUTRIA, PERRO DE AGUA_OTTER
105	CAPUCHÍN, MACHÍN_CEBUS MONKEY
106	MONO AULLADOR_HOWLER MONKEY
107	MARIMONDA, MAQUISAPA_SPIDER MONKEY
108	CHIGÜIRO, RONSOCO_CAPYBARA
109	OSO HORMIGUERO_ANTEATER
110	PACA, GUAGUA, MAJAS_PACA
111	CAIMÁN_CAYMAN
112	IGUANA_IGUANA
113	TORTUGA_TORTOISE
114	TORTUGA, MOTELO_RIVER TURTLE
115	SAÍNO_COLLARED PECCARY
116	JABALÍ MAYOR_WHITE-LIPPED PECCARY
117	AGUTÍ_AGOUTI
118	RATA_RAT
119	GATO_CAT
120	RATÓN_MOUSE
121	COLA_TAIL
122	SERPIENTE, CULEBRA_SNAKE
123	MAPANA_ANACONDA, WATER BOA
124	CASCABEL_RATTLESNAKE
125	CORAL_CORAL SNAKE
126	SAPO_TOAD
127	PÁJARO_BIRD
128	PICAFLOR, COLIBRÍ_HUMMINGBIRD
129	GUACAMAYO_MACAW
130	TUCÁN, PINSHA_TOUCAN
131	LORO_PARROT
132	PERICO, PIHUICHO_PARAKEET
133	GALLINAZO_BUZZARD
134	PAYO_CURASSOW
135	LECHUZA, BUHO_OWL
136	PAVA DE MONTE_GUAN
137	GALLINA_HEN
138	PESCADO_FISH
139	CARIBE_PIRANHA
140	ABEJA_BEE
141	MOSCA_FLY
142	PULGA_FLEA
143	PIOJO_LOUSE
144	ZANCUDO_MOSQUITO
145	COMEJÉN, HORMIGA BLANCA_TERMITE
146	HORMIGA_ANT
147	ARAÑA_SPIDER
148	NIGUA, PIGUE_CHIGGOE, JIGGER FLEA
149	MONTE_BUSH
150	PAJONAL, SABANA_OPEN GRASSLAND
151	CERRO, LOMA_HILL
152	ÁRBOL_TREE
153	HOJA_LEAF
154	HOJA DE ÁRBOL_TREE LEAF
155	FLOR_FLOWER
156	FRUTA_FRUIT
157	SAVIA_SAP
158	RAÍZ_ROOT
159	SEMILLA_SEED
160	PALO_STICK
161	HIERBA_GRASS
162	MAÍZ_CORN, MAIZE
163	YUCA_MANIOC
164	HARINA DE YUCA_MANIOC FLOUR
165	TABACO_TOBACCO
166	ALGODÓN_COTTON
167	CALABAZO PORO_GOURD
168	ÑAME_YAM
169	CAMOTE, BATATA_SWEET POTATO
170	ACHIOTE, BIJA_ACHIOTE
171	AJÍ_CHILI PEPPER
172	COCA_COCA
173	AJAHUASCA, JAJÉ_BANISTERIUM
174	PLÁTANO_PLANTAIN
175	CHONTA_CHONTA PALM
176	CAÑA BRAVA_CANE
177	SAL_SALT
178	CHICHA, MASATO_CHICHA
179	UNO_ONE
180	DOS_TWO
181	TRES_THREE
182	CUATRO_FOUR
183	CINCO_FIVE
184	DIEZ_TEN
185	PRIMERO_FIRST
186	ÚLTIMO_LAST
187	SONAJERO, MARACA_RATTLE
188	TAMBOR_DRUM
189	CUSHMA_CUSHMA
190	OREJERA, ARETE_EAR ORNAMENT
191	MÁSCARA_MASK
192	CURANDERO_SHAMAN, FOLK HEALER
193	CACIQUE, CURACA, CAPITÁN_CHIEF
194	YO_I
195	USTED_YOU (SINGULAR)
196	ÉL_HE
197	ELLA_SHE
198	ELLO_IT
199	NOSOTROS_WE
200	USTEDES_YOU (PLURAL)
201	ELLOS_THEY
202	MI MANO_MY HAND
203	TU MANO_YOUR HAND
204	SU MANO_HIS HAND
205	NUESTRAS MANOS_OUR HANDS
206	VUESTRAS MANOS_YOUR (PLUR.) HANDS
207	SUS MANOS (DE ELLOS)_THEIR HANDS
208	MI ARCO_MY BOW
209	TU ARCO_YOUR (SING.) BOW
210	SU ARCO - DE ÉL_HIS BOW
211	NUESTRO ARCO_OUR BOW
212	SU ARCO DE USTEDES_YOUR (PLUR.) BOW
213	SU ARCO - DE ELLOS_THEIR BOW
214	GRANDE_BIG
215	PEQUEÑO_SMALL
216	FRÍO_COLD
217	CALIENTE_HOT
218	BUENO_GOOD
219	MALO_BAD
220	BLANCO_WHITE
221	NEGRO_BLACK
222	VAYA, VE_GO
223	VEN_COME
224	COME_EAT
225	BEBE_DRINK
226	DUERME_SLEEP
227	CORONA_CROWN OF HEAD
228	DIENTES DELANTEROS INCISIVOS_FRONT TEETH, INEISORS
229	PUNTA DE LA LENGUA_TIP OF TONGUE
230	PELO LARGO_LONG HAIR
231	LA GARGANTA Y CUELLO_THE NECK REGION
232	NUEZ DE LA GARGANTA_ADAM’S APPLE
233	ESPALDA, PARTE SUPERIOR_UPPER BACK
234	ANTEBRAZO_LOWER ARM
235	MUÑECA_WRIST
236	LA PIERNA INFERIOR_LOWER LEG
237	EL PELO DEL CUERPO_BODY HAIR
238	ESTÓMAGO_STOMACH
239	INTESTĨNOS, TRIPAS_INTESTINES
240	VIEJITA_OLD WOMAN
241	NUBES QUIETAS_CLOUDS AT REST
242	NUBES DE TORMENTA_STORM CLOUDS
243	SEMENTERA DE MAÍZ_CORN FIELD
244	QUEBRADA, CAÑO_STREAM
245	PIEDRECILLAS_PEBBLES
246	ROCAS GRANDES_HUGE ROCKS
247	TROCHA_PATH
248	RANCHO_SHELTER
249	ESTE_THIS
250	AQUEL_THAT
251	QUIÉN_WHO
252	QUÉ_WHAT
253	NO_NOT
254	TODOS_ALL
255	MUCHO(S)_MANY
256	LARGO_LONG
257	CORTEZA_BARK
258	CARNE_FLESH
259	GRASA_GREASE, ANIMAL FAT
260	HUEVO_EGG
261	CUERNO_HORN
262	PLUMA_FEATHER
263	UÑA, GARRA_FINGERNAIL, CLAW
264	BARRIGA_BELLY
265	HÍGADO_LIVER
266	BEBER_DRINK
267	COMER_EAT
268	MORDER_BITE
269	VER_SEE
270	OÍR_HEAR
271	SABER_KNOW
272	DORMIR_SLEEP
273	MORIR_DIE
274	MATAR_KILL
275	NADAR_SWIM
276	VOLAR_FLY
277	ANDAR_WALK
278	VENIR_COME
279	ACOSTARSE_LIE DOWN
280	SENTARSE, SENTADO_SIT
281	PONERSE EN PIE, DE PIE_STAND
282	DAR_GIVE
283	DECIR_SAY
284	ARDER_BURN
285	MONTAÑA_MOUNTAIN
286	ROJO_RED
287	VERDE_GREEN
288	AMARILLO_YELLOW
289	LLENO_FULL
290	NUEVO_NEW
291	REDONDO_ROUND
292	SECO_DRY
293	NOMBRE_NAME
294	COMO_HOW
295	CUANDO_WHEN
296	DONDE_WHERE
297	AQUÍ_HERE
298	ALLÍ_THERE
299	OTRO_OTHER
300	POCO_FEW
301	NEBLINA_FOG
302	FLUIR_FLOW
303	MAR_SEA
304	MOJADO_WET
305	LAVAR_WASH
306	GUSANO_WORM
307	ALA_WING
308	PIEL PELUDA_FUR
309	OMBLIGO_NAVEL
310	SALIVA_SALIVA
311	LECHE_MILK
312	CON_WITH
313	EN_IN
314	EN, LUGAR DEFINIDO_AT
315	SI_IF
316	HIELO_ICE
317	NIEVE_SNOW
318	HELARSE_FREEZE
319	NIÑO_CHILD
320	OSCURO_DARK
321	CORTAR_CUT
322	ANCHO_WIDE
323	ESTRECHO_NARROW
324	LEJOS_FAR
325	CERCA_NEAR
326	GRUESO_THICK
327	DELGADO_THIN
328	CORTO_SHORT
329	PESADO_HEAVY
330	EMBOTADO_DULL
331	AFILADO_SHARP
332	SUCIO_DIRTY
333	PODRIDO_ROTTEN
334	LISO_SMOOTH
335	RECTO_STRAIGHT
336	CORRECTO_CORRECT
337	IZQUIERDO_LEFT
338	DERECHO_RIGHT
339	VIEJO_OLD
340	FROTAR_RUB
341	JALAR, HALAR_PULL
342	EMPUJAR_PUSH
343	BOTAR, TIRAR_THROW
344	GOLPEAR_HIT
345	HENDER_SPLIT
346	PUNZAR_PIERCE
347	CAVAR_DIG
348	ATAR_TIE
349	COSER_SEW
350	CAER_FALL
351	HINCHAR_SWELL
352	PENSAR_THINK
353	CANTAR_SING
354	OLER_SMELL
355	VOMITAR_VOMIT
356	CHUPAR_SUCK
357	SOPLAR_BLOW
358	TEMER_FEAR
359	APRETAR, EXPRIMIR_TIGHTEN, SQUEEZE
360	SOSTENER_HOLD
361	ABAJO_DOWN
362	ARRIBA_UP
363	MADURO_RIPE
364	POLVO_DUST
365	VIVO_ALIVE
366	CUERDA_ROPE
367	MAN
368	WOMAN
369	OLD_OF_HUMANS
370	CHILD
371	BOY
372	GIRL
373	FATHER
374	MOTHER
375	SIBLING_SAME_SEX_OLDER
376	SIBLING_SAME_SEX_YOUNGER
377	SIBLING_DIFFERENT_SEX_OLDER
378	SIBLING_DIFFERENT_SEX_YOUNGER
379	I
380	THOU
381	HE
382	WE
383	YE
384	THEY
385	ALL
386	 HAIR
387	HEAD
388	BRAINS
389	FACE_FOREHEAD
390	EAR
391	EYE
392	MOUTH
393	NOSE
394	TONGUE
395	SALIVA
396	TOOTH
397	CHIN
398	NAPE
399	NECK
400	THROAT
401	BACK
402	BUTTOCKS
403	ARM
404	ELBOW
405	SHOULDER
406	ARMPIT
407	LEFT_ARM
408	RIGHT_ARM
409	THUMB
410	FINGERNAIL
411	LEG
412	UPPER_LEG
413	KNEE
414	 CALF_OF_LEG
415	BELLY
416	STOMACH_GUTS
417	BREAST_WOMAN
418	CHEST
419	NAVEL
420	BLOOD
421	VEIN
422	HEART
423	LIVER
424	LUNG
425	BONE
426	SKIN
427	SWEAT
428	SORE
429	EXCREMENT
430	URINE
431	PENIS
432	VULVA
433	NAME
434	SHADOW
435	BIRD
436	CASSOWARY
437	TAIL_OF_DOG
438	TAIL_OF_BIRD
439	CHICKEN_TAME
440	CHICKEN_WILD
441	EGG
442	DOG
443	MALE
444	FEMALE
445	FLY
446	LOUSE
447	FISH
448	CRAYFISH
449	MOSQUITO
450	PIG
451	MEAT
452	FAT
453	CROCODILE
454	FLYING_FOX
455	FROG
456	RAT
457	SNAKE
458	WALLABY
459	POSSUM_TREE
460	POSSUM_GROUND
461	BUTTERFLY
462	WING
463	BANANA
464	BETELNUT
465	BETEL_PEPPER_VINE
466	LIME
467	ALANG-ALANG_GRASS
468	PANDANUS
469	POTATO
470	 SUGAR_CANE
471	TARO
472	SINGAPORE_TARO
473	YAM
474	 YAM_DISCOREA_ESCULENTA
475	TOBACCO
476	SAGO
477	 COCONUT_TREE
478	RIPE_COCONUT
479	GREEN_COCONUT
480	TREE
481	FRUIT
482	SAP
483	STUMP_OF_TREE
484	TOP_OF_TREE
485	TRUNK_OF_TREE
486	ROOT_OF_TREE
487	PIECE_OF_WOOD
488	CANE
489	STICK
490	BAMBOO
491	BEAN
492	SHRUB_TANGET
493	VINE
494	FIRE
495	LIGHT_OF_FIRE
496	ASHES
497	SMOKE
498	GARDEN
499	FENCE
500	GROUND
501	HOUSE
502	MOON
503	MOUNTAIN
504	PATH
505	SEA
506	SHORE
507	SAND
508	SKY
509	CLOUD
510	SALT
511	FOG
512	STONE
513	STAR
514	SUN
515	VILLAGE
516	WOODS
517	WIND
518	WATER
519	RAIN
520	 ARROW_A
521	 ARROW_D
522	 ARROW_B
523	 ARROW_C
524	 FISH_SPEAR
525	SPEAR
526	AXE_STONE
527	AXE_IRON
528	BOW
529	ROPE_OF_BOW
530	COMB
531	GRASS_SKIRT
532	G-STRING
533	LOINCLOTH
534	BASKET
535	HAND_DRUM
536	SIGNAL_DRUM
537	SAUCEPAN_CLAY_POT
538	WOODEN_PLATE
539	KNIFE
540	NETBAG
541	ONE
542	TWO
543	BAD
544	GOOD
545	BIG
546	SMALL
547	BLACK
548	DIRTY
549	RED
550	WHITE
551	YELLOW
552	GREEN
553	FULL
554	EMPTY
555	HOT
556	COLD
557	HEAVY
558	SHARP
559	LONG
560	SHORT
561	MANY
562	FEW
563	NEW
564	OLD_OF_OBJECTS
565	STRAIGHT
566	CROOKED
567	WET
568	DRY
569	RIPE
570	HUNGRY
571	THIS
572	THAT
573	WHO
574	WHAT
575	WHERE
576	HOW_MANY
577	MORNING
578	DAY_BREAK
579	AFTERNOON
580	NIGHT
581	YESTERDAY
582	TOMORROW
583	DAY_BEFORE_YESTERDAY
584	DAY_AFTER_TOMORROW
585	BEFORE
586	AFTERWARDS
587	NOW
588	THERE
589	HERE
590	NEAR
591	FAR
592	QUICKLY
593	SLOWLY
594	YES
595	NO
596	INSIDE_THE_HOUSE
597	ALWAYS
598	BE
599	SLEEP
600	COUGH
601	SIT_DOWN
602	STAND
603	STAND_UP
604	DIE
605	COME
606	GO
607	WALK
608	GO_UP
609	GO_DOWN
610	RUN
611	 FALL_OVER_TREE
612	 TO_FLY
613	JUMP
614	SWELL_UP_SKIN
615	VOMIT
616	GIVE
617	TALK
618	 TALK_TO
619	WATCH
620	SEE
621	BATHE
622	WASH
623	HEAR
624	BITE
625	CARRY_ON_SHOULDER
626	CARRY_ON_BACK
627	BLOW_ON_FIRE
628	DIG
629	BREAK_ACROSS
630	SPLIT
631	TEAR
632	CUT_WITH_KNIFE
633	CHOP_WITH_AXE
634	 FELL_A_TREE
635	BURY
636	PLANT
637	BOIL
638	ROAST
639	 FILL_UP
640	BURN
641	BUY
642	EAT
643	FIGHT_HIT
644	KILL
645	THROW_STONE
646	SHOOT
647	LOOK_FOR
648	 POUR_OUT
649	WORK
650	MAKE
651	HOLD
652	 SHARPEN_A_BOW
653	PULL
654	PUSH
655	SCRATCH_SKIN
656	PUT
657	SMELL
658	SWALLOW
659	TIE
660	FASTEN
661	LAUGH
662	TAKE
663	CALL_OUT
664	CRY
665	SINGSING
666	DANCE
667	TURN_ONESELF
668	DREAM
669	BE_SICK
670	BE_AFRAID
671	COOKED
672	THINK
673	THUNDERING
674	HAIR
675	 FACE_FOREHEAD
676	SUGAR_CANE
677	 SINGAPORE_TARO
678	YAM_DISCOREA_ESCULENTA
679	COCONUT_TREE
680	 STUMP_OF_TREE
681	 TOP_OF_TREE
682	 TRUNK_OF_TREE
683	 ROOT_OF_TREE
684	 SHRUB_TANGET
685	 SPEAR
686	FALL_OVER_TREE
687	TALK_TO
688	 BREAK_ACROSS
689	 CHOP_WITH_AXE
690	FELL_A_TREE
691	SHARPEN_A_BOW
692	 SCRATCH_SKIN
693	 BE_SICK
694	 BE_AFRAID
695	CALF_OF_LEG
696	 SKIN
697	 TAIL_OF_DOG
698	 MALE
699	 FEMALE
700	 POSSUM_TREE
701	 ROAST
702	 SIBLING_DIFFERENT_SEX_OLDER
703	 SIBLING_DIFFERENT_SEX_YOUNGER
